Dong_name,code_dong,return_day,rent_day,rental_stop,large_store,company,hospital,restaurant,park,cafe,house,bank,car,school,bus_stop,bus_geton_people,bus_getoff_people,subway_station,subway_geton_people,subway_getoff_people,M_child,M_teenager,M_20,M_30,M_40,M_50,M_60,M_over70,W_child,W_teenager,W_20,W_30,W_40,W_50,W_60,W_over70,M_sum,W_sum
원효로1동,11170560,26.65,27.55,2,6.0,1758.0,24.0,463.0,0.0,33.0,5251.0,3.0,41814.0,1.0,24,260.9524999999999,264.3312500000001,0.0,0.0,0.0,15577.0,13277.82,35090.8,58829.96,50460.83,35786.51,21430.93,16996.32,15428.01,12613.49,46622.18,62979.1,42892.26,34594.97,22619.42,22551.56,247450.17,260300.99
원효로2동,11170570,44.23,44.23,6,3.0,958.0,6.0,194.0,0.0,20.0,4631.0,2.0,35735.0,3.0,23,194.11826086956523,174.2508695652174,0.0,0.0,0.0,13452.51,13418.1,18980.71,27936.65,30438.06,27320.79,17148.53,14335.91,8100.16,17206.72,22967.55,27765.55,25990.83,25483.8,20505.78,23619.41,163031.26,171639.8
월계1동,11350560,71.52,70.0,6,9.0,1466.0,42.0,505.0,0.0,36.0,7568.0,2.0,48439.0,3.0,43,269.499069767442,256.47906976744184,1.0,6163.16,5861.03,20182.21,29661.74,57298.25,38698.36,44385.53,35253.31,29045.11,27399.53,18006.52,19638.86,43382.91,37013.23,41472.25,38820.78,36799.87,43661.41,281924.04,278795.83
월계2동,11350570,28.32,29.35,9,0.0,930.0,19.0,233.0,0.0,12.0,11477.0,0.0,52527.0,9.0,34,206.8347058823529,193.8202941176471,1.0,4945.9,4722.61,19244.29,23252.4,26524.0,27360.69,34863.17,35755.46,26660.47,29160.02,21401.58,23670.45,26709.37,31515.91,36287.97,40405.2,37772.66,53060.1,222820.5,270823.24
월계3동,11350580,64.84,63.84,5,1.0,996.0,36.0,248.0,0.0,17.0,12688.0,2.0,63426.0,4.0,26,196.35461538461536,239.3084615384616,0.0,0.0,0.0,30038.52,26127.07,33944.63,42239.47,47581.42,42138.17,35302.56,35727.4,33750.85,25498.62,35523.28,45571.37,49875.16,53328.12,45307.33,53123.33,293099.24,341978.06
월곡1동,11290715,50.74,50.26,4,1.0,1361.0,46.0,110.0,0.0,27.0,8267.0,3.0,52360.0,4.0,24,368.77041666666656,376.3279166666666,0.0,0.0,0.0,31651.13,32774.22,28926.44,33698.11,40283.77,34352.25,25326.97,23094.65,26409.91,31216.26,34678.64,40994.07,47234.31,44117.15,34006.5,45043.65,250107.53999999998,303700.49
월곡2동,11290725,31.84,32.55,8,1.0,1558.0,39.0,691.0,1.0,39.0,5672.0,4.0,37327.0,1.0,31,174.2741935483871,161.7554838709677,2.0,6842.47,6604.565,22804.98,23932.1,40017.8,40069.51,39765.86,37106.11,29022.82,24776.5,18166.78,24305.49,52447.41,41313.05,40180.56,43808.92,33501.17,38024.71,257495.68,291748.08999999997
위례동,11710647,25.71,26.77,12,0.0,667.0,11.0,11.0,0.0,25.0,9962.0,1.0,60339.0,3.0,52,173.1496153846154,183.9563461538461,0.0,0.0,0.0,92481.61,53748.54,36617.26,61569.05,77284.77,47777.03,31221.33,17964.16,79465.97,53139.36,40055.57,83216.57,85661.44,58140.25,39318.24,31365.49,418663.75,470362.89
은천동,11620605,44.68,44.65,9,6.0,1562.0,35.0,495.0,0.0,35.0,10519.0,0.0,62780.0,2.0,38,304.5921052631579,313.8381578947368,0.0,0.0,0.0,23124.76,25220.81,50025.43,58790.23,54606.8,39852.26,30007.15,30263.16,19711.4,24781.09,59149.89,55291.9,49749.63,46569.01,42432.73,46412.42,311890.6,344098.07
을지로동,11140605,25.94,26.97,7,8.0,8812.0,21.0,1027.0,1.0,62.0,422.0,10.0,11644.0,0.0,16,206.271875,240.72,4.0,9346.08,9326.6775,1433.47,2446.47,24827.88,44316.96,52801.82,54136.32,34219.62,25305.09,1985.09,4002.09,32503.69,32064.78,28669.1,27301.48,17498.23,12281.5,239487.63,156305.96
